Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),AvgDist (keepersadv_p90),TMPosition
138,Fernando Pacheco,ESP,GK,Espanyol,La Liga,31,1992,16,16,1440,16,2.06,0.25,0,0.19,0,1.66,0.02,-0.4,7.94,17,26.06,3.5,2.26,8.56,3.1,15.12,1,1.19,1,90,2.06,5.5,3.38,0.25,0.19,0.56,0.19,0.31,0.25,0.06,0,13.8,Goalkeeper
139,Rui Patrício,POR,GK,Roma,Serie A,35,1988,35,35,3150,35,1,0.06,0.03,0.11,0.03,0.79,0.01,-0.18,3.86,9.37,18.4,3.46,0.96,6.86,0.99,11.49,0.46,0.71,1,90,1,3.09,2.09,0.49,0.23,0.29,0.37,0.09,0.06,0.03,0,13.8,Goalkeeper
140,Jiří Pavlenka,CZE,GK,Werder Bremen,Bundesliga,31,1992,33,33,2908,32.3,1.89,0.06,0,0.15,0.06,1.61,0.01,-0.22,6.13,15.39,27.65,4.71,1.12,8.64,1.33,14.89,0.68,1.18,1.02,90.03,1.89,5.26,3.41,0.31,0.15,0.56,0.12,0.09,0.06,0.03,0,14.9,Goalkeeper
141,Gianluca Pegolo,ITA,GK,Sassuolo,Serie A,42,1981,2,2,180,2,1.5,0.5,0,0,0,1.6,0.19,0.1,4.5,9,30.5,5,14.85,8,14.15,14,1,0,1,90,1.5,3,1.5,0,0.5,0.5,0,0.5,0.5,0,0,9,Goalkeeper
142,Iñaki Peña,ESP,GK,Barcelona,La Liga,24,1999,2,0,73,0.8,2.5,0,0,0,0,1.75,0.45,-0.75,1.25,3.75,28.75,6.25,31.5,5,28.5,8.75,0,2.5,0,91.25,2.5,5,2.5,0,0,0,0,0,0,0,0,16.5,Goalkeeper
143,Patrick Pentz,AUT,GK,Reims,Ligue 1,26,1997,7,7,630,7,2,0.29,0,0.29,0.14,1.7,0.05,-0.16,4.14,13.43,21.71,3.57,5.19,8.43,5.53,14.71,1.14,0.57,1,90,2,4.14,2.29,0.14,0.43,0.43,0,0.29,0.29,0,0,12.2,Goalkeeper
144,Simone Perilli,ITA,GK,Hellas Verona,Serie A,28,1995,1,1,90,1,0,0,0,0,0,0.8,0.19,0.8,6,30,21,0,57.3,13,69.8,19,1,1,1,90,0,4,4,0,1,0,1,0,0,0,0,12,Goalkeeper
145,Mattia Perin,ITA,GK,Juventus,Serie A,30,1992,11,10,948,10.5,0.67,0.1,0,0.1,0,1.07,0.02,0.4,3.05,10.19,27.33,5.14,2.93,6,3.42,14.67,0.38,1.05,0.95,90.29,0.67,3.81,3.05,0.48,0.29,0.19,0.57,0.19,0.1,0.1,0,15.7,Goalkeeper
146,Samuele Perisan,ITA,GK,Empoli,Serie A,25,1997,7,7,630,7,1.29,0,0,0.29,0,1.07,0.04,-0.21,3.57,10.71,21.86,5.57,4.67,10.71,4.9,19.14,0.71,0.57,1,90,1.29,3.43,2.14,0.14,0.14,0.71,0.29,0,0,0,0,11.6,Goalkeeper
147,Jordan Pickford,ENG,GK,Everton,Premier League,29,1994,37,37,3330,37,1.54,0.14,0.05,0.11,0,1.62,0.01,0.08,7.3,21.65,26.81,4.08,1.16,8.51,1.42,15.3,0.59,1.41,1,90,1.54,4.89,3.32,0.19,0.32,0.49,0.22,0.16,0.14,0.03,0,16.2,Goalkeeper
148,Nick Pope,ENG,GK,Newcastle Utd,Premier League,31,1992,37,37,3261,36.2,0.88,0.06,0,0.22,0.03,0.86,0.01,0.01,3.31,10.17,18.87,6.41,0.91,5.72,1.4,11.35,0.94,2.04,1.02,90.08,0.88,3.26,2.35,0.52,0.36,0.14,0.39,0.14,0.06,0.06,0.03,18.2,Goalkeeper
149,Ivan Provedel,ITA,GK,Lazio,Serie A,29,1994,38,37,3413,37.9,0.79,0.03,0,0.13,0.03,0.83,0.01,0.06,4.17,9.84,29.58,4.38,0.85,5.22,0.88,13.01,0.55,1.45,0.98,90.05,0.79,3.38,2.61,0.55,0.21,0.21,0.55,0.05,0.03,0,0.03,16.5,Goalkeeper
150,Ghjuvanni Quilichini,FRA,GK,Ajaccio,Ligue 1,20,2002,1,0,82,0.9,0,0,0,0,0,0.89,0.27,0.89,6.67,26.67,28.89,2.22,48.67,8.89,67.78,27.78,2.22,0,0,91.11,0,4.44,4.44,0,0,0,1.11,0,0,0,0,7.5,Goalkeeper
151,Ionuț Radu,ROU,GK,Cremonese,Serie A,26,1997,9,9,810,9,2.11,0.33,0,0.33,0,2.33,0.03,0.22,4.22,15.89,29.44,3.78,4.14,7.44,5.14,11.89,0.67,1,1,90,2.11,7.11,5,0,0.33,0.67,0.11,0.33,0.33,0,0,14.5,Goalkeeper
152,Ionuț Radu,ROU,GK,Auxerre,Ligue 1,26,1997,17,17,1530,17,1.18,0,0,0,0.06,1.29,0.02,0.17,6.88,20.53,27.59,3.82,2.43,7.53,3.12,16.06,0.82,0.76,1,90,1.18,4.35,3.12,0.24,0.35,0.41,0.29,0.12,0,0.12,0,12.9,Goalkeeper
153,Predrag Rajković,SRB,GK,Mallorca,La Liga,27,1995,36,36,3240,36,1.11,0.17,0,0.08,0,1.09,0.01,-0.02,8.97,21.83,24.97,3.47,1.26,8.58,1.5,16.89,0.89,0.53,1,90,1.11,3.69,2.56,0.36,0.22,0.42,0.33,0.19,0.17,0.03,0,11.7,Goalkeeper
154,Diant Ramaj,GER,GK,Eint Frankfurt,Bundesliga,21,2001,1,1,90,1,1,0,0,1,0,1,0.2,0,1,3,21,7,29.1,4,22,15,1,1,1,90,1,5,4,0,1,0,0,0,0,0,0,11.5,Goalkeeper
155,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,25,1998,38,38,3420,38,1.13,0.08,0,0.16,0.03,1.05,0.01,-0.05,2.87,11.29,25.16,4.58,0.88,4.03,1.29,10.03,0.58,1.13,1,90,1.13,3.58,2.47,0.68,0.16,0.16,0.37,0.13,0.08,0,0.05,16.1,Goalkeeper
156,Nicola Ravaglia,ITA,GK,Sampdoria,Serie A,34,1988,9,9,810,9,2.56,0.22,0,0.33,0,1.99,0.03,-0.57,5.44,16.11,25.11,5,3.96,11,4.18,17.22,1.11,0.11,1,90,2.56,7.11,4.56,0,0.33,0.67,0,0.22,0.22,0,0,10.5,Goalkeeper
157,David Raya,ESP,GK,Brentford,Premier League,27,1995,38,38,3420,38,1.21,0.05,0,0.24,0.08,1.26,0.01,0.13,9.13,23.21,35.97,4.21,1.04,7.08,1.36,15.74,1.37,1.42,1,90,1.21,5.18,4.05,0.39,0.37,0.24,0.32,0.05,0.05,0,0,15.8,Goalkeeper
158,Pepe Reina,ESP,GK,Villarreal,La Liga,40,1982,22,22,1980,22,1.23,0.18,0,0.14,0.05,1.31,0.01,0.13,2.91,9.41,33.45,5.09,1.31,5.36,1.62,14.32,0.68,0.91,1,90,1.23,3.95,2.77,0.59,0.14,0.27,0.23,0.18,0.18,0,0,14.6,Goalkeeper
159,Álex Remiro,ESP,GK,Real Sociedad,La Liga,28,1995,38,38,3420,38,0.92,0.03,0.03,0.08,0.05,0.86,0.01,-0.01,6.42,15.05,28.68,3.63,0.94,5.68,1.35,11.92,0.47,1.24,1,90,0.92,3.5,2.61,0.55,0.21,0.24,0.39,0.05,0.03,0.03,0,15.9,Goalkeeper
160,Manuel Riemann,GER,GK,Bochum,Bundesliga,34,1988,34,34,3060,34,2.12,0.24,0.06,0.26,0.09,2.03,0.01,0,16.29,34.56,43.79,2.44,1.31,7.68,1.49,15.76,0.91,3.56,1,90,2.12,5.88,3.76,0.29,0.15,0.56,0.15,0.41,0.24,0.09,0.09,22.2,Goalkeeper
161,Rémy Riou,FRA,GK,Lyon,Ligue 1,35,1987,7,6,601,6.7,1.19,0.6,0,0,0.15,1.31,0.03,0.27,1.79,7.31,26.57,4.48,4.28,7.01,3.88,11.64,0.9,1.49,0.9,89.7,1.19,3.58,2.54,0.3,0.6,0,0.15,0.6,0.6,0,0,17.2,Goalkeeper
162,Joel Robles,ESP,GK,Leeds United,Premier League,32,1990,4,4,360,4,2.75,0.5,0,0,0,2.62,0.08,-0.12,4.5,17.75,22.5,5,10.28,8,12.35,10.75,0.5,0.75,1,90,2.75,6.75,4,0,0.25,0.75,0,0.75,0.5,0,0.25,11.6,Goalkeeper
163,Marek Rodák,SVK,GK,Fulham,Premier League,26,1996,2,2,180,2,1,0,0,0,0,1,0.26,0,8,23.5,23,1.5,23,7.5,30,13,0.5,1,1,90,1,2,1,0,1,0,0.5,0,0,0,0,14,Goalkeeper
164,Leonardo Román,ESP,GK,Mallorca,La Liga,22,2000,1,1,90,1,0,0,0,0,0,0.1,0.03,0.1,9,21,30,3,35.2,12,48.8,30,1,2,1,90,0,4,4,1,0,0,1,0,0,0,0,17.4,Goalkeeper
165,Francesco Rossi,ITA,GK,Atalanta,Serie A,32,1991,1,0,3,0,,,,,,,,,,inf,inf,,inf,inf,inf,inf,,,,inf,,,,,,,,,,,,0,Goalkeeper
166,Gerónimo Rulli,ARG,GK,Villarreal,La Liga,31,1992,14,14,1260,14,0.71,0,0,0.07,0,0.89,0.02,0.18,3.57,8.5,32.21,5,2.06,6.57,2.71,15.36,1.43,1.5,1,90,0.71,4,3.29,0.43,0.21,0.36,0.5,0,0,0,0,15.5,Goalkeeper
167,Alessandro Russo,ITA,GK,Sassuolo,Serie A,22,2001,1,1,90,1,3,0,0,0,0,2.8,0.4,-0.2,0,12,42,2,30.7,8,18.3,14,0,0,1,90,3,7,4,0,0,1,0,0,0,0,0,10,Goalkeeper
168,Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,30,1992,29,29,2610,29,0.93,0.17,0,0.17,0,1.21,0.01,0.28,8.28,20.86,38.45,3.76,1.26,5.62,1.7,14.97,1.48,1,1,90,0.93,4.1,3.17,0.55,0.24,0.21,0.38,0.17,0.17,0,0,13.5,Goalkeeper
169,José Sá,POR,GK,Wolves,Premier League,30,1993,36,36,3240,36,1.53,0.06,0,0.17,0.03,1.34,0.01,-0.16,3.33,12.08,25.97,5.06,0.86,7.22,1.28,15,1.19,0.78,1,90,1.53,4.47,2.92,0.31,0.19,0.5,0.31,0.11,0.06,0.06,0,12.6,Goalkeeper
170,Brice Samba,FRA,GK,Lens,Ligue 1,29,1994,37,37,3330,37,0.76,0.08,0,0.16,0.03,0.88,0.01,0.15,4.7,11.76,29.05,3.78,0.9,4.32,0.88,10.38,0.92,1.11,1,90,0.76,3.38,2.65,0.65,0.24,0.11,0.41,0.08,0.08,0,0,15.4,Goalkeeper
171,Robert Sánchez,ESP,GK,Brighton,Premier League,25,1997,23,23,2070,23,1.3,0.22,0,0.17,0.13,1.05,0.01,-0.12,2.61,8.91,28.04,4.48,1.26,5.7,1.53,9.96,0.74,0.57,1,90,1.3,3.22,2,0.48,0.22,0.3,0.26,0.26,0.22,0.04,0,12.3,Goalkeeper
172,Mouhamadou Sarr,SEN,GK,Cremonese,Serie A,26,1997,2,2,180,2,1.5,0,0,0.5,0,1.45,0.18,-0.05,9.5,19,35.5,6,17.85,6,26.8,9,0,0.5,1,90,1.5,4,2.5,0.5,0,0.5,0.5,0,0,0,0,8.6,Goalkeeper
173,Kasper Schmeichel,DEN,GK,Nice,Ligue 1,36,1986,36,36,3240,36,0.97,0.08,0.06,0.14,0,1,0.01,0.02,4.72,10.78,25.25,3.31,0.91,7.72,0.99,12.64,0.67,0.64,1,90,0.97,3.92,2.92,0.42,0.33,0.25,0.31,0.14,0.08,0.03,0.03,12.9,Goalkeeper
174,Marvin Schwäbe,GER,GK,Köln,Bundesliga,28,1995,34,34,3060,34,1.59,0.12,0.12,0.12,0.09,1.24,0.01,-0.26,4.53,11.88,35.38,3.44,0.92,5.44,1,13.76,0.56,0.65,1,90,1.59,3.79,2.26,0.29,0.35,0.35,0.18,0.15,0.12,0.03,0,13.4,Goalkeeper
175,Alexander Schwolow,GER,GK,Schalke 04,Bundesliga,31,1992,23,22,2035,22.6,2.57,0.18,0.04,0.27,0,2.03,0.01,-0.54,7.96,19.51,29.91,3.5,1.7,7.7,2.44,14.2,0.31,1.02,0.97,90.04,2.57,6.11,3.54,0.18,0.18,0.62,0.09,0.18,0.18,0,0,15,Goalkeeper
176,Matz Sels,BEL,GK,Strasbourg,Ligue 1,31,1992,38,38,3420,38,1.55,0.26,0.03,0.16,0,1.49,0.01,-0.07,4.18,11.97,20.39,3.42,0.97,5.16,1.16,13.26,0.82,0.84,1,90,1.55,4.58,3.03,0.24,0.34,0.42,0.16,0.29,0.26,0,0.03,12.8,Goalkeeper
177,Luigi Sepe,ITA,GK,Salernitana,Serie A,32,1991,17,17,1530,17,1.59,0.24,0,0,0,1.78,0.02,0.19,4.47,16.12,28.82,4.94,2.11,9.06,2.42,13.06,0.94,0.76,1,90,1.59,5.12,3.35,0.24,0.29,0.47,0.18,0.41,0.24,0.18,0,14.2,Goalkeeper
178,Rui Silva,POR,GK,Betis,La Liga,29,1994,26,26,2340,26,1.23,0.08,0.04,0.23,0.04,1.27,0.01,0.07,5.92,15.77,25.69,4.12,1.37,8.23,1.83,14.19,0.69,1.42,1,90,1.23,4,2.81,0.46,0.15,0.38,0.35,0.08,0.08,0,0,16.6,Goalkeeper
179,Marco Silvestri,ITA,GK,Udinese,Serie A,32,1991,38,38,3420,38,1.26,0.16,0.05,0.08,0.05,1.28,0.01,0.07,3.79,10,22.95,3.74,0.84,7.95,0.9,14.39,0.34,0.55,1,90,1.26,3.61,2.39,0.29,0.34,0.37,0.26,0.18,0.16,0,0.03,12.2,Goalkeeper
180,Unai Simón,ESP,GK,Athletic Club,La Liga,25,1997,31,31,2745,30.5,1.21,0.1,0.03,0.03,0.1,1.04,0.01,-0.08,4.39,11.51,24.98,5.05,1.09,6.1,1.62,11.64,0.59,1.31,1.02,90,1.21,3.41,2.3,0.43,0.2,0.39,0.3,0.1,0.1,0,0,17.5,Goalkeeper
181,Tobias Sippel,GER,GK,M'Gladbach,Bundesliga,35,1988,6,5,510,5.7,2.11,0.18,0,0.53,0,2.04,0.06,-0.07,4.39,18.6,37.19,4.04,5.74,8.42,9.32,15.44,0.35,0.7,0.88,89.47,2.11,5.79,3.68,0.18,0.18,0.53,0.18,0.18,0.18,0,0,13.1,Goalkeeper
182,Salvatore Sirigu,ITA,GK,Fiorentina,Serie A,36,1987,1,1,90,1,0,0,0,0,0,1,0.19,1,6,16,30,9,37.7,8,41.8,12,0,2,1,90,0,5,5,1,0,0,1,0,0,0,0,26.3,Goalkeeper
183,Łukasz Skorupski,POL,GK,Bologna,Serie A,32,1991,37,37,3330,37,1.32,0.19,0.03,0.16,0.08,1.29,0.01,0.05,3.95,10.03,25.22,5.57,0.86,7.51,0.89,13.3,0.78,0.65,1,90,1.32,4.35,3.05,0.35,0.32,0.32,0.19,0.24,0.19,0.05,0,12.9,Goalkeeper
184,François-Joseph Sollacaro,FRA,GK,Ajaccio,Ligue 1,29,1994,6,6,540,6,2.33,0.17,0,0.17,0.17,1.52,0.06,-0.65,3.17,14.5,17,1.83,6.78,6.67,8.03,15.5,1,1,1,90,2.33,4,1.83,0.17,0.17,0.67,0.17,0.17,0.17,0,0,11.5,Goalkeeper
185,Yann Sommer,SUI,GK,M'Gladbach,Bundesliga,34,1988,10,10,900,10,1.4,0.2,0.1,0,0.1,1.67,0.02,0.37,4.8,14.1,51.7,5.2,2.82,9,2.86,16.2,0.5,1.3,1,90,1.4,6,4.7,0.4,0.4,0.2,0.3,0.2,0.2,0,0,14.6,Goalkeeper
186,Yann Sommer,SUI,GK,Bayern Munich,Bundesliga,34,1988,19,19,1710,19,1.32,0.37,0.05,0.05,0,1.25,0.02,-0.07,2.53,6.21,34.26,4.37,1.32,5.16,1.51,11.16,0.63,1.42,1,90,1.32,2.89,1.58,0.58,0.21,0.21,0.26,0.37,0.37,0,0,16.7,Goalkeeper
187,David Soria,ESP,GK,Getafe,La Liga,30,1993,38,38,3420,38,1.18,0.11,0,0.18,0.05,1.2,0.01,0.07,10.76,23.79,20.58,2.61,1.31,9.13,1.57,15.42,0.95,1.21,1,90,1.18,4.37,3.13,0.26,0.32,0.42,0.34,0.21,0.11,0.11,0,15,Goalkeeper
188,Marco Sportiello,ITA,GK,Atalanta,Serie A,31,1992,15,14,1340,14.9,1.41,0.07,0.07,0.13,0,1.32,0.02,-0.09,3.49,9.93,23.22,5.7,1.93,7.79,3.34,13.42,1.21,1.21,0.94,89.93,1.41,4.3,2.89,0.4,0.2,0.34,0.13,0.07,0.07,0,0,15,Goalkeeper
189,Jason Steele,ENG,GK,Brighton,Premier League,32,1990,15,15,1350,15,1.53,0.07,0,0.13,0.2,1.23,0.02,-0.1,2.27,4.93,32.2,3.2,1.61,3.67,0.93,8.4,0.67,1.27,1,90,1.53,3.8,2.4,0.47,0.2,0.33,0.4,0.13,0.07,0.07,0,15.7,Goalkeeper
190,Mile Svilar,SRB,GK,Roma,Serie A,23,1999,3,3,270,3,1,0,0,0,0,0.97,0.1,-0.03,5.33,14.67,20.33,4.33,13.8,5.33,20.03,14,2,1.33,1,90,1,3.33,2.33,0.33,0.33,0.33,0.33,0,0,0,0,12.1,Goalkeeper
191,Wojciech Szczęsny,POL,GK,Juventus,Serie A,33,1990,28,28,2472,27.5,0.95,0.11,0,0.18,0,0.95,0.01,0,4.65,9.82,23.05,4.65,1.22,5.56,1.39,14.15,0.4,0.76,1.02,89.89,0.95,3.38,2.44,0.62,0.11,0.29,0.51,0.11,0.11,0,0,14.7,Goalkeeper
192,Ciprian Tătărușanu,ROU,GK,Milan,Serie A,37,1986,16,16,1440,16,1.38,0.12,0.12,0.25,0.06,1.05,0.02,-0.26,5.88,12.19,29.56,4.69,2.06,5.19,2.61,12.19,0.56,0.81,1,90,1.38,3.81,2.5,0.56,0.19,0.25,0.25,0.12,0.12,0,0,14.4,Goalkeeper
193,Marc-André ter Stegen,GER,GK,Barcelona,La Liga,31,1992,38,38,3347,37.2,0.48,0.08,0,0.05,0.08,0.64,0.01,0.23,4.52,9.01,32.66,4.97,0.78,5.3,0.95,9.89,0.48,1.1,1.02,89.97,0.48,2.63,2.23,0.75,0.11,0.16,0.7,0.08,0.08,0,0,16.4,Goalkeeper
194,Pietro Terracciano,ITA,GK,Fiorentina,Serie A,33,1990,29,29,2610,29,1.31,0.21,0,0.1,0.07,1.14,0.01,-0.1,5.34,12.93,30.03,3.9,1.14,6.83,1.4,9.34,0.41,1.9,1,90,1.31,3.31,2.03,0.31,0.28,0.41,0.17,0.24,0.21,0.03,0,18.4,Goalkeeper
195,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,32,1990,33,33,2970,33,1.55,0.06,0.03,0.21,0.03,1.28,0.01,-0.23,2.42,9.88,20.12,3.88,1.05,6.64,1.03,12.15,0.52,0.73,1,90,1.55,3.94,2.42,0.39,0.3,0.3,0.18,0.06,0.06,0,0,14.4,Goalkeeper
196,Mark Travers,IRL,GK,Bournemouth,Premier League,24,1999,12,11,1035,11.5,2.78,0.17,0,0.7,0.17,2.09,0.03,-0.52,6.17,13.39,21.74,4.7,2.77,10.26,3.81,19.91,0.43,0.43,0.96,90,2.78,5.74,3.13,0.17,0,0.78,0.17,0.17,0.17,0,0,10.5,Goalkeeper
197,Martin Turk,SVN,GK,Sampdoria,Serie A,19,2003,4,4,360,4,2.25,0.25,0,0.75,0,2,0.06,-0.25,8.75,19.5,24.75,3.75,8.78,10.75,14.08,15,0,0.5,1,90,2.25,7.5,5.25,0.25,0.25,0.5,0,0.5,0.25,0,0.25,12.3,Goalkeeper
198,Samir Ujkani,KVX,GK,Empoli,Serie A,34,1988,1,0,7,0.1,10,0,0,0,0,2,2.5,-8,0,0,20,10,185,10,270,10,0,0,0,70,10,10,0,0,0,0,0,0,0,0,0,0,Goalkeeper
199,Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,34,1988,3,3,270,3,0.67,0,0,0.33,0,0.8,0.06,0.13,3,8.67,37.33,7,8.67,6,7.8,11.33,0.67,1.33,1,90,0.67,2.67,1.67,1,0,0,0.67,0.33,0,0.33,0,17.5,Goalkeeper
200,Guglielmo Vicario,ITA,GK,Empoli,Serie A,26,1996,31,31,2783,30.9,1.26,0.13,0,0.26,0.03,1.32,0.01,0.09,4.47,14.72,35.79,4.89,1.09,5.5,1.39,19.61,1.1,0.71,1,90.06,1.26,4.34,3.07,0.29,0.39,0.32,0.23,0.19,0.13,0.03,0.03,11.5,Goalkeeper
201,Iván Villar,ESP,GK,Celta Vigo,La Liga,25,1997,19,19,1710,19,1.26,0.16,0,0.32,0,1.17,0.02,-0.09,4.26,12.58,22.89,5.05,1.78,8.26,2.36,13.47,0.42,0.74,1,90,1.26,3.26,2,0.32,0.26,0.42,0.21,0.21,0.16,0,0.05,14.2,Goalkeeper
202,Danny Ward,WAL,GK,Leicester City,Premier League,29,1993,26,26,2340,26,1.77,0.08,0.08,0.23,0.15,1.4,0.01,-0.21,3.62,11.65,28.85,5.92,1.17,7.31,1.35,13.65,0.77,1.62,1,90,1.77,4.58,2.88,0.27,0.12,0.62,0.23,0.12,0.08,0.04,0,15.9,Goalkeeper
203,Axel Werner,ARG,GK,Elche,La Liga,27,1996,2,2,180,2,2,0,0,1,0,1.2,0.16,-0.8,2,10,26.5,4.5,17.45,8,16.9,13,0.5,0.5,1,90,2,4,2,0,0,1,0,0,0,0,0,14,Goalkeeper
204,Joseph Whitworth,ENG,GK,Crystal Palace,Premier League,19,2004,2,2,180,2,2.5,0,0,0,0,1.15,0.12,-1.35,4,13.5,34,4,15.05,7.5,18.35,12.5,0.5,1.5,1,90,2.5,5,2.5,0,0,1,0,0,0,0,0,15.4,Goalkeeper
205,Robin Zentner,GER,GK,Mainz 05,Bundesliga,28,1994,26,26,2340,26,1.5,0.12,0.04,0.08,0,1.36,0.01,-0.14,6.15,18.23,25.85,5.62,1.54,7.46,2.08,12.35,1.65,2.04,1,90,1.5,4.19,2.65,0.35,0.31,0.35,0.27,0.19,0.12,0.04,0.04,17.4,Goalkeeper
206,Michael Zetterer,GER,GK,Werder Bremen,Bundesliga,27,1995,2,1,152,1.7,1.76,0,0,0.59,0,1.88,0.14,0.12,9.41,19.41,28.82,7.65,24.47,7.06,29.59,8.82,1.76,2.35,0.59,89.41,1.76,8.24,6.47,0,0.59,0,0,0,0,0,0,16.5,Goalkeeper
207,Jeroen Zoet,NED,GK,Spezia,Serie A,32,1991,5,4,334,3.7,1.08,0.27,0,0.27,0,0.76,0.04,-0.32,6.76,21.08,29.73,3.51,10.54,6.22,15.78,16.76,1.08,1.62,1.08,90.27,1.08,3.51,2.43,0,0.81,0.27,0,0.27,0.27,0,0,14.7,Goalkeeper
208,Petar Zovko,BIH,GK,Spezia,Serie A,21,2002,1,0,74,0.8,2.5,0,0,0,0,2.12,0.69,-0.37,8.75,26.25,28.75,3.75,43.88,16.25,63.88,30,1.25,2.5,0,92.5,2.5,3.75,1.25,0,0,0,0,0,0,0,0,17,Goalkeeper
